code;category
Afcfs-;ADJ
Afcmp-;ADJ
Afpfp-;ADJ
Afpfs-;ADJ
Afpmp-;ADJ
Afpms-;ADJ
Ai-fp-;ADJ
Ai-fs-;ADJ
Ai-mp-;ADJ
Ai-ms-;ADJ
Ao-fs-;ADJ
Ao-mp-;ADJ
Ao-ms-;ADJ
As-fp-;ADJ
As-fs-;ADJ
As-mp-;ADJ
As-ms-;ADJ
Cc;CC
Cs;CS
Da-mp--da;DET
Da-mp--id;DET
Da-ms--da;DET
Da-ms--dd;DET
Dd-fs----;DET
Dd-mp----;DET
Dd-ms----;DET
Di-fp----;DET
Di-fs----;DET
Di-mp----;DET
Di-ms----;DET
Ds1fs-p--;DET
Ds1fs-s--;DET
Ds1mp-s--;DET
Ds2fs-p--;DET
Ds2fs-s--;DET
Ds2mp-p--;DET
Ds2mp-s--;DET
Ds3fs-s--;DET
Ds3mp-p--;DET
Ds3mp-s--;DET
Dt-fp----;DET
Dt-fs----;DET
Dt-mp----;DET
Dt-ms----;DET
I;INT
Mcfp-;NUM
Mcmp-;NUM
Mc-p-;NUM
Ncfp--;NOM
Ncfs--;NOM
Ncmp--;NOM
Ncms--;NOM
Ndfp--;NOM
Ndfp-c;NOM
Ndfp-h;NOM
Ndfp-s;NOM
Ndfs--;NOM
Ndfs-c;NOM
Ndfs-h;NOM
Ndfs-s;NOM
Ndmp--;NOM
Ndmp-c;NOM
Ndmp-h;NOM
Ndmp-s;NOM
Ndms--;NOM
Ndms-c;NOM
Ndms-h;NOM
Ndms-s;NOM
Npfs--;NOM
Npfs-c;NOM
Npms--;NOM
Npms-c;NOM
Pd-fp--;PRO
Pd-fs--;PRO
Pd-mp--;PRO
Pd-ms--;PRO
Pd-n---;PRO
Pi-fp--;PRO
Pi-fs--;PRO
Pi-mp--;PRO
Pi-ms--;PRO
Pp1-sn-;PRO
Pp1-so-;PRO
Pp2-pn-;PRO
Pp2-sn-;PRO
Pp2-so-;PRO
Pp3fpn-;PRO
Pp3fpo-;PRO
Pp3fsj-;PRO
Pp3fsn-;PRO
Pp3fso-;PRO
Pp3mpj-;PRO
Pp3mpn-;PRO
Pp3mpo-;PRO
Pp3msj-;PRO
Pp3msn-;PRO
Pp3mso-;PRO
Pp3n-j-;PRO
Pp3n-n-;PRO
Pr-ms--;PRO
Ps1fp-s;PRO
Ps1fs-p;PRO
Ps1fs-s;PRO
Ps1mp-p;PRO
Ps1mp-s;PRO
Ps1ms-p;PRO
Ps1ms-s;PRO
Ps2fp-s;PRO
Ps2fs-p;PRO
Ps2fs-s;PRO
Ps2mp-p;PRO
Ps2mp-s;PRO
Ps2ms-p;PRO
Ps2ms-s;PRO
Ps3fp-s;PRO
Ps3fs-p;PRO
Ps3fs-s;PRO
Ps3mp-p;PRO
Ps3mp-s;PRO
Ps3ms-p;PRO
Ps3ms-s;PRO
Pt-----;PRO
Pt-fp--;PRO
Pt-fs--;PRO
Pt-mp--;PRO
Pt-ms--;PRO
Px1mp--;PRO
Px1ms--;PRO
Px2mp--;PRO
Px2ms--;PRO
Px3mp--;PRO
Rgc;ADV
Rgd;EXP
Rgp;EXP
Rpd;EXP
Rpn;ABR
Sp-;PREP
Sp-+Da-mp--da;EXP
Sp-+Da-mp--dd;EXP
Sp-+Da-ms--da;EXP
Sp-+Da-ms--dd;EXP
Spa;PREP
Spa+Afpfp-;EXP
Spa+Afpfs-;EXP
Spa+Afpmp-;EXP
Spa+Afpms-;EXP
Spa+Pt-fp--;EXP
Spa+Pt-fs--;EXP
Spa+Pt-mp--;EXP
Spa+Pt-ms--;EXP
Spd;PREP
Spd+Afpfp-;EXP
Spd+Afpfs-;EXP
Spd+Afpmp-;EXP
Spd+Afpms-;EXP
Spd+Pt-fp--;EXP
Spd+Pt-fs--;EXP
Spd+Pt-mp--;EXP
Spd+Pt-ms--;EXP
U;NOM
Vmcp1p--;VERBE
Vmcp2p--;VERBE
Vmcp2s--;VERBE
Vmcp3p--;VERBE
Vmcp3s--;VERBE
Vmif1p--;VERBE
Vmif1s--;VERBE
Vmif2p--;VERBE
Vmif2s--;VERBE
Vmif3p--;VERBE
Vmif3s--;VERBE
Vmii1p--;VERBE
Vmii2p--;VERBE
Vmii2s--;VERBE
Vmii3p--;VERBE
Vmii3s--;VERBE
Vmip1p--;VERBE
Vmip1s--;VERBE
Vmip2p--;VERBE
Vmip2s--;VERBE
Vmip3p--;VERBE
Vmip3s--;VERBE
Vmis1p--;VERBE
Vmis1s--;VERBE
Vmis2p--;VERBE
Vmis2s--;VERBE
Vmis3p--;VERBE
Vmis3s--;VERBE
Vmmp1p--;VERBE
Vmmp2p--;VERBE
Vmmp2s--;VERBE
Vmn-----;VERBE
Vmpp----;VERBE
Vmps----;VERBE
Vmps-pf-;VERBE
Vmps-pm-;VERBE
Vmps-sf-;VERBE
Vmps-sm-;VERBE
Vmsi1p--;VERBE
Vmsi1s--;VERBE
Vmsi2p--;VERBE
Vmsi2s--;VERBE
Vmsi3p--;VERBE
Vmsi3s--;VERBE
Vmsp1p--;VERBE
Vmsp1s--;VERBE
Vmsp2p--;VERBE
Vmsp2s--;VERBE
Vmsp3p--;VERBE
Vmsp3s--;VERBE
Xe;ABR
Xf;EXP
Xu;UNITE
